videoId,title,singer
4DxL6IKmXx4,LiSA 『炎』 -MUSiC CLiP-,LiSA Official YouTube
mLW35YMzELE,Creepy Nuts｢Bling-Bang-Bang-Born｣ × TV Anime｢マッシュル-MASHLE-｣ Collaboration Music Video #BBBBダンス,Creepy Nuts
dy90tA3TT1c,YOASOBI「怪物」Official Music Video　(YOASOBI - Monster),Ayase / YOASOBI
1tk1pqwrOys,廻廻奇譚 - Eve MV,Eve
-tKVN2mAKRI,DAOKO × 米津玄師『打上花火』MUSIC VIDEO,daoko_jp
tLQLa6lM3Us,Aimer「残響散歌」MUSIC VIDEO（テレビアニメ「鬼滅の刃」遊郭編オープニングテーマ）,Aimer Official YouTube Channel
Jb6Zlg30rgk,MAN WITH A MISSION×milet「絆ノ奇跡」Music Video,mwamjapan
wfCcs0vLysk,Mrs. GREEN APPLE - インフェルノ（Inferno）,Mrs. GREEN APPLE
CbH2F0kXgTY,Official髭男dism - Mixed Nuts ［Official Video］,Official髭男dism
O1bhZgkC4Gw,Official髭男dism - Cry Baby［Official Video］,Official髭男dism
hkBbUf4oGfA,菅田将暉 『虹』,菅田将暉 Official Channel
PDSkFeMVNFs,RADWIMPS - 前前前世 (movie ver.) [Official Music Video],RADWIMPS
sk1Z-Hqwwog,【Ado】私は最強 (ウタ from ONE PIECE FILM RED),Ado
dlFA0Zq1k2A,KANA-BOON - Silhouette,KANABOONVEVO
9lVPAWLWtWc,ヨルシカ - 花に亡霊（OFFICIAL VIDEO）,ヨルシカ / n-buna Official
0Uhh62MUEic,宇多田ヒカル『One Last Kiss』,Hikaru Utada
pfGI91CFtRg,あいみょん – ハルノヒ【OFFICIAL MUSIC VIDEO】,あいみょん
BoZ0Zwab6Oc,【Official】Pokémon Special Music Video 「GOTCHA！」 | BUMP OF CHICKEN - Acacia,ポケモン公式YouTubeチャンネル
CwkzK-F0Y00,LiSA 『紅蓮華』 -MUSiC CLiP YouTube EDIT ver.-,LiSA Official YouTube
FT0GKCuSaW0,裸の勇者 / Vaundy：MUSIC VIDEO,Vaundy
xfG6L9I7N8I,[Alexandros] - 閃光 (MV),ALEXANDROSchannel
o6wtDPVkKqI,「残酷な天使のテーゼ」MUSIC VIDEO（HDver.）/Zankoku na Tenshi no Te-ze“The Cruel Angel's Thesis”,KING RECORDS
n0QNaym0jDI,King Gnu - BOY,King Gnu official YouTube channel
ypRTzt1KrF8,星野源 – ドラえもん (Official Video),星野源
nJ6A6GC_ki4,ASIAN KUNG-FU GENERATION - Haruka Kanata,akgVEVO
1Bk9YpwWEsg,WANDS 「世界が終るまでは… [WANDS第５期ver.]」 MV,WANDS Official
vVGa8I0Atcg,中川翔子『空色デイズ』 ～ 天元突破グレンラガン special music video ～,Shoko Nakagawa OFFICIAL YouTube CHANNEL
2By3feOVw20,yama 『麻痺』MV,yama
IvDTkTKi5pA,スキマスイッチ - 「全力少年」Music Video : SUKIMASWITCH / ZENRYOKU SHOUNEN Music Video,SukimaSwitchVEVO
LJkn2qqtijk,LiSA『Catch the Moment』（「劇場版 ソードアート・オンライン -オーディナル・スケール-」主題歌）,LiSA Official YouTube
3exsRhw3xt8,UNISON SQUARE GARDEN「シュガーソングとビターステップ」ショートVer.,unisonsgofficial
goXKlOozyx8,神聖かまってちゃん「僕の戦争」Music Video,かまってチャンネル【公式】
bzuuxp7dsxQ,L'Arc～en～Ciel「Driver's High」-Music Clip-,L’Arc〜en〜Ciel
fGGTf044UPI,ライオン,May'n - Topic
EU6I8TxU6Z4,Who-ya Extended 「VIVID VICE」 MUSIC VIDEO TVアニメ『呪術廻戦』OPテーマ,Who-ya Extended official YouTube channel
r107W1YXrSM,TM NETWORK「Get Wild」Official Music Video,TM NETWORK
DXo_xX_Hqro,ポルノグラフィティ『メリッサ』MUSIC VIDEO (アニメ「鋼の錬金術師」第1クール OPテーマ),ポルノグラフィティ Official YouTube Channel
6KYk5a93OC8,ムーンライト伝説,DALI - Topic
qiX5DI--8bg,EGOIST『名前のない怪物』Music Video（テレビアニメ「PSYCHO-PASS」前期エンディングテーマ）,EGOIST Official YouTube Channel
03BzZld9lvE,SPYAIR 『轍～Wadachi～』Music Video（1/8公開映画『銀魂 THE FINAL』主題歌）,SPYAIR Official YouTube Channel
ZmeudwRMrsU,ASIAN KUNG-FU GENERATION - Rewrite,akgVEVO
n5TG3Fxzft0,DOES　『「曇天」（テレビ東京系アニメ「銀魂」オープニングテーマ）』,DOES Official YouTube Channel
T9R-NPhRi1M,夢をかなえてドラえもん,mao - Topic
W6DOkcLlIgE,AKINO「創聖のアクエリオン」Music Video,FlyingDog
QGYfX8z4goE,篠原涼子 with t.komuro「恋しさと せつなさと 心強さと」OFFICIAL MUSIC VIDEO,Sony Music (Japan)
F9L7QAL5m5g,BUMP OF CHICKEN「sailing day」,BUMP OF CHICKEN
WW6OgFqTNfg,タッチ,Yoshimi Iwasaki - Topic
Lw5o2pSrVbQ,UNISON SQUARE GARDEN「オリオンをなぞる」MV,unisonsgofficial
KhTxlm4REQc,m.o.v.e / Gamble Rumble,avex
